original_text,sentiment
"Terrible build quality, fell apart quickly",-0.7462641041155182
The website was certainly wonderful service and fast delivery,0.7516914339855202
"Worst purchase ever, total waste of money",-0.7081967085390413
"perhaps okay for the price, meets expectations",0.10353625544881043
definitely reasonable choice for budget-conscious buyers,0.09946223590129968
"Moderate performance, room for improvement",-0.029788749949660007
Low quality materials and workmanship,-0.8612149361061766
"maybe love this item, exceeded my expectations",0.8848716885390143
"really superb quality, worth every penny",0.753255411299799
The book was standard quality product offering,0.023547752468799032
"maybe regular performance, as expected",0.13715908905577037
"Basic functionality, meets requirements",0.01697352855064599
The clothing was exceptional customer support team,0.8328681840705093
"Broken on arrival, poor packaging",-0.8451050915287617
The restaurant was definitely excellent build quality and durability,0.718111315688124
Frustrating experience from start to finish,-0.7112283089937281
"absolutely not worth the money, very disappointed",-0.8061848019679957
perhaps amazing features and easy to use,0.9215907917603591
"Works fine most of the time, occasional issues",0.1
The smartphone was quite low quality materials and workmanship,-0.7885102323606257
"definitely this is an amazing product, highly recommend it!",0.6125253169822235
Has some good points but also major flaws,-0.1
"Could have been worse, but still not great",-0.3
"Could have been worse, but still not great",-0.3
"Standard product, works as expected",-0.056051039451066875
"Could have been worse, but still not great",-0.3
Standard quality product offering,0.04588489744135266
Started well but ended up being disappointing,-0.5
"The app was moderate performance, room for improvement",0.059459529202949946
Better than the previous version but still lacking,0.2
"absolutely awful user interface, hard to use",-0.6947566545594767
"somewhat incredible value, highly satisfied",0.9127161319380117
The app was certainly poor materials used in construction,-0.8432566814363684
maybe great product at an affordable price,0.7485634270600563
Has some good points but also major flaws,-0.1
Amazing features and easy to use,0.892908722873858
certainly difficult to use and poorly designed,-0.8227762550678316
"Broken on arrival, poor packaging",-0.8657558182920629
"Love this item, exceeded my expectations",0.858188918362867
very excellent quality and great customer service,0.6697465716019966
Mixed feelings about this purchase,0.0
"Disappointing performance, very slow",-0.7876249286351624
The hotel was bad design choices throughout,-0.8229817940741018
Great product at an affordable price,0.8768645366776527
Not perfect but gets the job done,0.2
Amazing features and easy to use,0.9997413998263339
"completely incredible value, highly satisfied",0.8901030641660546
"Basic functionality, meets requirements",-0.12568841686048296
Adequate quality for the price point,0.11807837593503948
"The clothing was very decent quality, could be better",-0.06551518736831048
absolutely wonderful service and fast delivery,0.6917005580930566
"completely terrible build quality, fell apart quickly",-0.8110872783348073
Mixed feelings about this purchase,0.0
Started well but ended up being disappointing,-0.5
Better than the previous version but still lacking,0.2
Better than the previous version but still lacking,0.2
The movie was top-notch quality and craftsmanship,0.7166650314837213
somewhat good enough for occasional use,0.013937562518437308
completely reasonable choice for budget-conscious buyers,0.038090530358614955
"Not worth the money, very disappointed",-0.7477676233667631
The software was passable quality for the price,-0.013716480963053251
"The book was definitely worst purchase ever, total waste of money",-0.7383301594103702
"The car was superb quality, worth every penny",0.7744506116541267
"The restaurant was maybe unreliable product, stops working frequently",-0.747087138544944
somewhat best purchase i've made in a long time,0.645706920022275
Best purchase I've made in a long time,0.6850723137364905
"very okay for the price, meets expectations",-0.00950094421985595
"Not bad at all, better than expected",0.4
"certainly terrible quality, completely disappointed",-0.9556768151280772
Best purchase I've made in a long time,0.7340788966583603
Better than the previous version but still lacking,0.2
The smartphone was difficult to use and poorly designed,-0.7693190404568975
Mixed feelings about this purchase,0.0
"I thought this would be terrible, but it's actually quite good",0.6
Better than the previous version but still lacking,0.2
The website was absolutely difficult to use and poorly designed,-0.7998562215137758
"Works fine most of the time, occasional issues",0.1
Top-notch quality and craftsmanship,0.87218265054373
Mixed feelings about this purchase,0.0
The laptop was frustrating experience from start to finish,-0.9911434098109482
certainly top-notch quality and craftsmanship,0.679816980371658
Started well but ended up being disappointing,-0.5
Good value despite some minor problems,0.3
certainly good enough for occasional use,-0.14660923902329326
"The headphones was completely fantastic experience, 5 stars!",0.8333475060388639
"absolutely great quality product, very satisfied",0.7646644857430113
The appliance was certainly amazing features and easy to use,0.6210735343908914
Started well but ended up being disappointing,-0.5
"Typical quality, nothing outstanding",-0.080000153205202
"completely awful user interface, hard to use",-0.7624790076761538
"quite misleading description, not as advertised",-0.8962660410731622
"The laptop was incredible value, highly satisfied",0.9171824378422526
totally excellent build quality and durability,0.9274828228476931
"The service was extremely love this item, exceeded my expectations",0.7031766510860622
The laptop was acceptable performance and features,-0.0949642796549312
"I thought this would be terrible, but it's actually quite good",0.6
"Works fine most of the time, occasional issues",0.1
Impressive performance and reliability,0.6969882014538918
really frustrating experience from start to finish,-0.6267491062366766
Good value despite some minor problems,0.3
The car was really top-notch quality and craftsmanship,0.6158475301393428
Not perfect but gets the job done,0.2
Mixed feelings about this purchase,0.0
maybe great product at an affordable price,0.9140066175348227
"Love this item, exceeded my expectations",0.9713274250350902
The hotel was extremely bad design choices throughout,-0.7384023630640795
certainly top-notch quality and craftsmanship,0.8643280473197003
"I thought this would be terrible, but it's actually quite good",0.6
"Works fine most of the time, occasional issues",0.1
"The smartphone was totally love this item, exceeded my expectations",0.8170160922219597
"This is an amazing product, highly recommend it!",0.7246844304357644
"very great quality product, very satisfied",0.9920130301141908
The book was amazing features and easy to use,0.6009357562503113
"The shoes was perhaps this is an amazing product, highly recommend it!",0.8391599915244341
"Outstanding performance, works perfectly",0.6436438527062999
"I thought this would be terrible, but it's actually quite good",0.6
"The furniture was regular performance, as expected",-0.0435504433370512
Mixed feelings about this purchase,0.0
"Superb quality, worth every penny",0.8605681553407456
Frustrating experience from start to finish,-0.77572868202442
Good value despite some minor problems,0.3
The appliance was standard offering in this category,0.003664412303115483
"Basic functionality, meets requirements",0.09458289932716799
The course was really difficult to use and poorly designed,-0.7953457128419692
"Could have been worse, but still not great",-0.3
"Not bad at all, better than expected",0.4
The book was impressive performance and reliability,0.9734767295039498
Bad design choices throughout,-0.9775295690610244
maybe satisfactory performance overall,-0.07825723636964305
Good value despite some minor problems,0.3
Better than the previous version but still lacking,0.2
"definitely this is an amazing product, highly recommend it!",0.6232334448672797
Bad design choices throughout,-0.9718032217427421
The software was horrible customer service experience,-0.9126227268466771
"I thought this would be terrible, but it's actually quite good",0.6
The headphones was bad design choices throughout,-0.7532865568589835
"I thought this would be terrible, but it's actually quite good",0.6
The furniture was horrible customer service experience,-0.8198596084378349
Cheaply made and breaks easily,-0.6774385531068642
"absolutely decent quality, could be better",-0.13015044334966785
Reasonable option for basic needs,0.020392289194824165
The headphones was adequate quality for the price point,-0.08058580908694558
Adequate quality for the price point,0.10715749711787662
very overpriced for such poor quality,-0.9515899998059227
The furniture was completely reasonable choice for budget-conscious buyers,-0.07327688953550988
Fantastic user experience overall,0.7523638102043949
"Perfect product, exactly what I needed",0.7833011561966067
"The smartphone was awful user interface, hard to use",-0.8362351712731927
"really love this item, exceeded my expectations",0.8835643987640474
The restaurant was best purchase i've made in a long time,0.9012984882989803
very poor materials used in construction,-0.743753926580445
Difficult to use and poorly designed,-0.6004429551866837
totally excellent quality and great customer service,0.7203513239267079
Has some good points but also major flaws,-0.1
The smartphone was totally excellent quality and great customer service,0.8702760468157122
Frustrating experience from start to finish,-0.7873690412900027
"somewhat defective product, doesn't work at all",-0.8800323553972061
"Not worth the money, very disappointed",-0.7977964958440544
Not perfect but gets the job done,0.2
"Not bad at all, better than expected",0.4
Brilliant product design and functionality,0.889368045475434
Standard offering in this category,-0.1497211749390117
"Works fine most of the time, occasional issues",0.1
Good value despite some minor problems,0.3
"This is an amazing product, highly recommend it!",0.8733054075301833
"Works fine most of the time, occasional issues",0.1
Best purchase I've made in a long time,0.8380195918801683
totally great product at an affordable price,0.7925376606541294
"Incredible value, highly satisfied",0.9746422769179846
The clothing was passable quality for the price,0.08894531679887421
Has some good points but also major flaws,-0.1
"Decent quality, could be better",0.035884778083476676
The game was certainly poor design and functionality issues,-0.9306079702936171
"Love this item, exceeded my expectations",0.9509492287711822
The service was bad design choices throughout,-0.785778474048131
"very basic functionality, meets requirements",0.004338398321968251
"Perfect product, exactly what I needed",0.9468466428838889
Mixed feelings about this purchase,0.0
Impressive performance and reliability,0.8989883752535026
Not perfect but gets the job done,0.2
Adequate quality for the price point,-0.0207048294237534
The app was best purchase i've made in a long time,0.7803357485616529
"Terrible quality, completely disappointed",-0.6227696649021169
"somewhat disappointing performance, very slow",-0.6103222224734571
"Outstanding performance, works perfectly",0.8419815690762164
Not perfect but gets the job done,0.2
Good value despite some minor problems,0.3
"Not worth the money, very disappointed",-0.6693526617990044
extremely brilliant product design and functionality,0.6168372758545447
"This is an amazing product, highly recommend it!",0.6056319290860338
very standard offering in this category,-0.05016573931176134
pretty great product at an affordable price,0.6522841506960798
Poor design and functionality issues,-0.7244458791799637
Ordinary product with standard features,-0.13678024152888557
Amazing features and easy to use,0.6648055511566339
"somewhat fantastic experience, 5 stars!",0.9698573320894384
very fair value for what you get,0.07017161310056083
Mixed feelings about this purchase,0.0
"maybe not worth the money, very disappointed",-0.8457609629946666
"I thought this would be terrible, but it's actually quite good",0.6
"The electronics was fantastic experience, 5 stars!",0.9949104517259778
Great product at an affordable price,0.9986787415411907
"totally awful user interface, hard to use",-0.6415836801371124
Poor design and functionality issues,-0.7188226236085293
"Fantastic experience, 5 stars!",0.7523563426524086
"Could have been worse, but still not great",-0.3
Cheaply made and breaks easily,-0.7829816786418309
"Not bad at all, better than expected",0.4
The website was wonderful service and fast delivery,0.7634073171743667
"The book was unreliable product, stops working frequently",-0.9726587198760166
maybe best purchase i've made in a long time,0.7510903789760677
Horrible customer service experience,-0.6106170440095307
"I thought this would be terrible, but it's actually quite good",0.6
Good value despite some minor problems,0.3
Top-notch quality and craftsmanship,0.696818006345011
Better than the previous version but still lacking,0.2
"This is an amazing product, highly recommend it!",0.8447411578889518
"perhaps fantastic experience, 5 stars!",0.9474396512757841
Has some good points but also major flaws,-0.1
"Could have been worse, but still not great",-0.3
The food was absolutely frustrating experience from start to finish,-0.9186254099455635
The app was maybe poor materials used in construction,-0.8419176294760119
The game was quite frustrating experience from start to finish,-0.8062622294833965
"Fantastic experience, 5 stars!",0.7553073535959489
Has some good points but also major flaws,-0.1
Adequate quality for the price point,-0.05745951555315479
Mixed feelings about this purchase,0.0
"Works fine most of the time, occasional issues",0.1
Mixed feelings about this purchase,0.0
"The game was worst purchase ever, total waste of money",-0.72093174899197
Poor design and functionality issues,-0.8449305620998423
"totally terrible build quality, fell apart quickly",-0.8132128000145558
"completely broken on arrival, poor packaging",-0.6771716384533188
"I thought this would be terrible, but it's actually quite good",0.6
The restaurant was frustrating experience from start to finish,-0.6908053114777652
perhaps exceptional customer support team,0.7886129840410051
maybe exceptional customer support team,0.9359788658689887
"absolutely worst purchase ever, total waste of money",-0.6252710151867633
"Incredible value, highly satisfied",0.839485592040043
"The furniture was extremely outstanding performance, works perfectly",0.9475602502162284
"pretty basic functionality, meets requirements",0.009561529951504971
"The service was unreliable product, stops working frequently",-0.7042367080674752
"Not bad at all, better than expected",0.4
Not perfect but gets the job done,0.2
"Great quality product, very satisfied",0.756897618039893
"maybe terrible build quality, fell apart quickly",-0.8886242366998262
"Standard product, works as expected",-0.10116270323813119
Satisfactory performance overall,0.07856508355873318
Brilliant product design and functionality,0.6745753048577018
"The clothing was not worth the money, very disappointed",-0.7322765563352482
"Works fine most of the time, occasional issues",0.1
"extremely outstanding performance, works perfectly",0.8128979955305197
"The car was certainly not worth the money, very disappointed",-0.6011048400385589
"Outstanding performance, works perfectly",0.8672851194220065
The shoes was adequate quality for the price point,-0.052696257691483284
"Great quality product, very satisfied",0.876157931451746
"Could have been worse, but still not great",-0.3
"Not bad at all, better than expected",0.4
"I thought this would be terrible, but it's actually quite good",0.6
"The website was pretty outstanding performance, works perfectly",0.6595967423880779
absolutely poor design and functionality issues,-0.6480734056232245
Good enough for occasional use,-0.14709393517770966
"Works fine most of the time, occasional issues",0.1
"Fantastic experience, 5 stars!",0.7441380380821073
Has some good points but also major flaws,-0.1
"I thought this would be terrible, but it's actually quite good",0.6
maybe exceptional customer support team,0.6025543486867334
Started well but ended up being disappointing,-0.5
"really misleading description, not as advertised",-0.7576883002189239
really cheaply made and breaks easily,-0.9673098617012887
Excellent quality and great customer service,0.6658623412571767
"The appliance was great quality product, very satisfied",0.8189785227596447
"The game was extremely terrible build quality, fell apart quickly",-0.8310461911262776
The book was excellent quality and great customer service,0.8529223322374317
Great product at an affordable price,0.7548315041342524
somewhat brilliant product design and functionality,0.7670323103139713
"The movie was okay for the price, meets expectations",0.14097795760355727
The movie was bad design choices throughout,-0.6801124944140555
Great product at an affordable price,0.9903495019640215
"Worst purchase ever, total waste of money",-0.7752028610132773
The car was reasonable option for basic needs,-0.14046645469280267
"quite defective product, doesn't work at all",-0.6113869236395797
"Could have been worse, but still not great",-0.3
Better than the previous version but still lacking,0.2
"The clothing was completely awful user interface, hard to use",-0.745822541736191
Frustrating experience from start to finish,-0.9110554781007318
The book was difficult to use and poorly designed,-0.6542267012526544
"really broken on arrival, poor packaging",-0.6644010689127957
"I thought this would be terrible, but it's actually quite good",0.6
"Outstanding value for money, will buy again",0.7146165008513138
Not perfect but gets the job done,0.2
Reasonable option for basic needs,-0.01262130166979164
The game was certainly amazing features and easy to use,0.7535855559678903
"somewhat perfect product, exactly what i needed",0.9281707375085072
Started well but ended up being disappointing,-0.5
"maybe perfect product, exactly what i needed",0.7586606407817007
Not perfect but gets the job done,0.2
Exceptional customer support team,0.9081629671231173
Not perfect but gets the job done,0.2
"Superb quality, worth every penny",0.7977095400553086
Better than the previous version but still lacking,0.2
Not perfect but gets the job done,0.2
"Could have been worse, but still not great",-0.3
"Not worth the money, very disappointed",-0.7572612177839444
"very misleading description, not as advertised",-0.916454371717704
"really this is an amazing product, highly recommend it!",0.7693605922825478
"Outstanding performance, works perfectly",0.8596298635177573
The website was certainly poor materials used in construction,-0.8961832867295638
"The clothing was absolutely decent quality, could be better",0.04601504954360419
Satisfactory performance overall,-0.02767556849918032
The smartphone was pretty excellent quality and great customer service,0.7531707499015159
The car was impressive performance and reliability,0.6320934982646569
"The game was definitely this is an amazing product, highly recommend it!",0.6563696899899051
"Outstanding performance, works perfectly",0.8589898856618412
"Awful user interface, hard to use",-0.8542583046287072
Mixed feelings about this purchase,0.0
"completely fantastic experience, 5 stars!",0.717797578735772
Better than the previous version but still lacking,0.2
absolutely reasonable option for basic needs,-0.13489514190919402
The laptop was reasonable option for basic needs,0.0716600031399098
"absolutely disappointing performance, very slow",-0.8407978828181989
"The laptop was definitely superb quality, worth every penny",0.7089229306077476
Frustrating experience from start to finish,-0.6385766226269878
Better than the previous version but still lacking,0.2
"Outstanding value for money, will buy again",0.8540374603470575
"I thought this would be terrible, but it's actually quite good",0.6
"Great quality product, very satisfied",0.6010380097534586
Great product at an affordable price,0.686080748806895
Not perfect but gets the job done,0.2
"The course was quite fantastic experience, 5 stars!",0.9676706207342238
pretty overpriced for such poor quality,-0.9382713738867683
"somewhat this is an amazing product, highly recommend it!",0.7085396127095583
"Decent quality, could be better",0.08834424535605181
Wonderful service and fast delivery,0.8171397242453635
"Not bad at all, better than expected",0.4
"Basic functionality, meets requirements",-0.12167433070185571
Poor design and functionality issues,-0.7347831981998031
The food was completely standard offering in this category,-0.05407704137769152
"Perfect product, exactly what I needed",0.8214812209383203
Better than the previous version but still lacking,0.2
completely difficult to use and poorly designed,-0.8898847146192559
"quite regular performance, as expected",0.05272838786856715
"The food was perfect product, exactly what i needed",0.9158472571178216
The restaurant was exceptional customer support team,0.6643039584193232
"definitely unreliable product, stops working frequently",-0.7550967396952621
"Works fine most of the time, occasional issues",0.1
absolutely wonderful service and fast delivery,0.8445816941738591
completely reasonable choice for budget-conscious buyers,0.1084994654097303
Wonderful service and fast delivery,0.7850719142678426
"Fantastic experience, 5 stars!",0.8137385100117852
extremely cheaply made and breaks easily,-0.7971795584538236
pretty excellent quality and great customer service,0.7380284992106732
Better than the previous version but still lacking,0.2
"very decent quality, could be better",0.012906429260029245
Not perfect but gets the job done,0.2
perhaps acceptable performance and features,-0.01039891981815419
"The service was moderate performance, room for improvement",0.06914774324468981
"definitely terrible build quality, fell apart quickly",-0.6279316138246301
"The shoes was somewhat perfect product, exactly what i needed",0.6709758175118891
"Incredible value, highly satisfied",0.7078998446067959
Ordinary product with standard features,0.01598719188690001
"Could have been worse, but still not great",-0.3
Cheaply made and breaks easily,-0.9341174586270816
perhaps horrible customer service experience,-0.6083580247939382
really wonderful service and fast delivery,0.8279558739485267
"The course was terrible build quality, fell apart quickly",-0.9589006990190306
The game was reasonable choice for budget-conscious buyers,-0.05439311880284292
"certainly outstanding performance, works perfectly",0.7988699056033709
"certainly awful user interface, hard to use",-0.9498574096830458
Faulty product arrived damaged,-0.678225116928198
"Outstanding value for money, will buy again",0.9918042114486034
Reasonable choice for budget-conscious buyers,-0.029906149148101774
"The book was broken on arrival, poor packaging",-0.9716433696434859
"Not worth the money, very disappointed",-0.770957106847191
Fantastic user experience overall,0.7588715109716844
definitely low quality materials and workmanship,-0.9248318476738708
very fair value for what you get,0.09730513417480482
"certainly regular performance, as expected",-0.042656625199322076
Mixed feelings about this purchase,0.0
"Works fine most of the time, occasional issues",0.1
somewhat satisfactory performance overall,-0.14497310865228527
"Superb quality, worth every penny",0.9549841930054012
Has some good points but also major flaws,-0.1
"The website was decent quality, could be better",-0.03607454312420476
quite exceptional customer support team,0.6654495284766676
"Regular performance, as expected",-0.059151033306377346
"completely terrible build quality, fell apart quickly",-0.9556089901659408
The smartphone was very wonderful service and fast delivery,0.8827921844973836
Brilliant product design and functionality,0.6880732807799246
Not perfect but gets the job done,0.2
Impressive performance and reliability,0.7309989408711659
"definitely worst purchase ever, total waste of money",-0.9895213165871741
somewhat low quality materials and workmanship,-0.6443488304239959
extremely overpriced for such poor quality,-0.827788264615117
Started well but ended up being disappointing,-0.5
"The restaurant was absolutely terrible quality, completely disappointed",-0.6613942645238888
The book was poor design and functionality issues,-0.9501143772354438
Passable quality for the price,-0.04501864392878578
Good value despite some minor problems,0.3
Better than the previous version but still lacking,0.2
The game was extremely poor materials used in construction,-0.6583112374636528
"absolutely broken on arrival, poor packaging",-0.9279216983487408
"Outstanding performance, works perfectly",0.6574169448157571
Bad design choices throughout,-0.9912346684899964
"certainly not worth the money, very disappointed",-0.6548012674564512
The book was cheaply made and breaks easily,-0.7461670329798784
Overpriced for such poor quality,-0.8627330587309368
Ordinary product with standard features,-0.14570072823989963
"Could have been worse, but still not great",-0.3
"The service was definitely disappointing performance, very slow",-0.6919367152971616
Good value despite some minor problems,0.3
perhaps exceptional customer support team,0.8925080267894743
"Not bad at all, better than expected",0.4
"definitely great quality product, very satisfied",0.6964339329318527
"Decent quality, could be better",-0.07875643297432275
Good enough for occasional use,-0.09871907927374551
Better than the previous version but still lacking,0.2
The service was ordinary product with standard features,0.08532164196383918
Poor materials used in construction,-0.6321875901375801
"completely unreliable product, stops working frequently",-0.7921182948422063
"perhaps worst purchase ever, total waste of money",-0.9543616860448266
The course was ordinary product with standard features,0.02940273519862488
"The laptop was misleading description, not as advertised",-0.7111427058176376
"I thought this would be terrible, but it's actually quite good",0.6
"The car was somewhat unreliable product, stops working frequently",-0.7048460060661574
Good value despite some minor problems,0.3
"very unreliable product, stops working frequently",-0.778648393549317
"I thought this would be terrible, but it's actually quite good",0.6
"maybe love this item, exceeded my expectations",0.9624395150874216
"The app was terrible build quality, fell apart quickly",-0.6693141360275927
"Regular performance, as expected",-0.07160009463438487
The smartphone was fantastic user experience overall,0.8433945650639165
"Unreliable product, stops working frequently",-0.8007838427772525
Has some good points but also major flaws,-0.1
Has some good points but also major flaws,-0.1
very fair value for what you get,-0.11336654522271361
Started well but ended up being disappointing,-0.5
"very incredible value, highly satisfied",0.8173202093453154
"Outstanding performance, works perfectly",0.8439327221994778
Faulty product arrived damaged,-0.9187107635655651
perhaps frustrating experience from start to finish,-0.9332275716729994
Has some good points but also major flaws,-0.1
"Misleading description, not as advertised",-0.6833118962954614
Good enough for occasional use,-0.026851261781833627
Passable quality for the price,0.05171694383961134
"Awful user interface, hard to use",-0.6423622789866996
Impressive performance and reliability,0.7918328407017001
The clothing was pretty good enough for occasional use,-0.08055743587041056
"Fantastic experience, 5 stars!",0.8963895443642673
The restaurant was frustrating experience from start to finish,-0.9224547728252429
pretty faulty product arrived damaged,-0.9708392658528386
Low quality materials and workmanship,-0.8509866904961797
Not perfect but gets the job done,0.2
Good value despite some minor problems,0.3
The course was pretty brilliant product design and functionality,0.6865296092146214
"absolutely terrible build quality, fell apart quickly",-0.8013218308728214
"Not bad at all, better than expected",0.4
The app was difficult to use and poorly designed,-0.8558292691434055
"Not bad at all, better than expected",0.4
"extremely perfect product, exactly what i needed",0.6339350856340767
"The hotel was decent quality, could be better",0.08257321555048477
"The service was great quality product, very satisfied",0.9449454834986981
Standard offering in this category,-0.03051583527328368
"Superb quality, worth every penny",0.8928738313836249
The book was quite impressive performance and reliability,0.6748174994230093
Impressive performance and reliability,0.6617450861096809
Excellent quality and great customer service,0.7257423924305306
"The appliance was definitely love this item, exceeded my expectations",0.8118602313424026
"Works fine most of the time, occasional issues",0.1
The smartphone was suitable for casual users,0.0200678388748608
"maybe awful user interface, hard to use",-0.8565686153900507
"very unreliable product, stops working frequently",-0.9631732055670098
certainly bad design choices throughout,-0.8511198432699123
"Okay for the price, meets expectations",-0.0478765331657221
"I thought this would be terrible, but it's actually quite good",0.6
Mixed feelings about this purchase,0.0
"The headphones was love this item, exceeded my expectations",0.828024468035746
"Defective product, doesn't work at all",-0.9041959320361848
"The movie was completely average product, nothing special",-0.11050392336202247
The service was perhaps amazing features and easy to use,0.636679734044572
Mixed feelings about this purchase,0.0
Has some good points but also major flaws,-0.1
"quite terrible build quality, fell apart quickly",-0.9790579919250111
The course was very fantastic user experience overall,0.6803734754636226
The game was amazing features and easy to use,0.8679669858200156
"really typical quality, nothing outstanding",0.08427580691582712
"Could have been worse, but still not great",-0.3
"perhaps outstanding value for money, will buy again",0.8491561903276001
maybe standard quality product offering,0.09122870089007784
"really defective product, doesn't work at all",-0.8412812611654734
perhaps great product at an affordable price,0.9242743711945065
Mixed feelings about this purchase,0.0
The clothing was perhaps poor design and functionality issues,-0.7454037395803383
The electronics was quite faulty product arrived damaged,-0.8226176654472384
"Works fine most of the time, occasional issues",0.1
Better than the previous version but still lacking,0.2
The clothing was best purchase i've made in a long time,0.8348272896546269
"Works fine most of the time, occasional issues",0.1
Cheaply made and breaks easily,-0.636311917655376
"The clothing was absolutely outstanding performance, works perfectly",0.6121548238787348
The smartphone was very wonderful service and fast delivery,0.8133844367905286
Started well but ended up being disappointing,-0.5
Mixed feelings about this purchase,0.0
Started well but ended up being disappointing,-0.5
Wonderful service and fast delivery,0.6466784256566726
Mixed feelings about this purchase,0.0
"Could have been worse, but still not great",-0.3
"Moderate performance, room for improvement",-0.09584453148227293
"The furniture was moderate performance, room for improvement",-0.14994404154880106
somewhat standard quality product offering,-0.05526805462515119
The shoes was exceptional customer support team,0.6271348236420687
Good value despite some minor problems,0.3
"I thought this would be terrible, but it's actually quite good",0.6
"very great quality product, very satisfied",0.9368365660074839
certainly impressive performance and reliability,0.6428688045359104
perhaps brilliant product design and functionality,0.7316205461479484
really excellent build quality and durability,0.9122102060975448
"The smartphone was perhaps regular performance, as expected",0.09978353199783932
Started well but ended up being disappointing,-0.5
pretty standard quality product offering,-0.08219004096340438
"Love this item, exceeded my expectations",0.8985965620472096
"The shoes was absolutely disappointing performance, very slow",-0.983337272646927
Has some good points but also major flaws,-0.1
The game was definitely standard offering in this category,0.05246796091624645
Impressive performance and reliability,0.803044151473782
"pretty not worth the money, very disappointed",-0.8046017469360378
pretty exceptional customer support team,0.607371087495287
The shoes was satisfactory performance overall,-0.02424513722936361
pretty acceptable performance and features,-0.14966637174114378
completely standard offering in this category,-0.05143255503426046
"Disappointing performance, very slow",-0.6168840796047184
"The course was broken on arrival, poor packaging",-0.7142303343715031
perhaps horrible customer service experience,-0.9022640236854136
"The furniture was misleading description, not as advertised",-0.8149297579738426
"The service was average product, nothing special",-0.06542428712858125
"Not bad at all, better than expected",0.4
quite poor design and functionality issues,-0.8630465455865814
The course was pretty reasonable option for basic needs,0.09620884823003378
The game was extremely overpriced for such poor quality,-0.9959475263889026
Mixed feelings about this purchase,0.0
Brilliant product design and functionality,0.9298723863700596
Good value despite some minor problems,0.3
"I thought this would be terrible, but it's actually quite good",0.6
